politician,politicianDescription,image,name_in_native_language,date_of_birth,country,,,
http://www.wikidata.org/entity/Q157,24th President of the French Republic,http://commons.wikimedia.org/wiki/Special:FilePath/Francois%20Hollande%202015.jpeg,François Gérard Georges Nicolas Hollande,1954-08-12T00:00:00Z,FR,,,
http://www.wikidata.org/entity/Q192,British politician and former Prime Minister of the United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Cameron%20official.jpg,David Cameron,1966-10-09T00:00:00Z,GB,,,
http://www.wikidata.org/entity/Q207,43rd President of the United States,http://commons.wikimedia.org/wiki/Special:FilePath/George-W-Bush.jpeg,George W. Bush,1946-07-06T00:00:00Z,US,,,
http://www.wikidata.org/entity/Q76,44th President of the United States of America,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Barack%20Obama.jpg,Barack Obama,1961-08-04T00:00:00Z,US,,,
http://www.wikidata.org/entity/Q1000800,German politician,http://commons.wikimedia.org/wiki/Special:FilePath/DIE%20LINKE%20Bundesparteitag%2010.%20Mai%202014-24.jpg,Heinz Bierbaum,1946-12-05T00:00:00Z,DE,,,
http://www.wikidata.org/entity/Q1002295,Hungarian jurist and liberal politician,http://commons.wikimedia.org/wiki/Special:FilePath/Gabor%20Fodor.jpg,Fodor Gábor,1962-09-27T00:00:00Z,HU,,,
http://www.wikidata.org/entity/Q100234,"German manager, politician and professor",http://commons.wikimedia.org/wiki/Special:FilePath/Marion%20Schick.jpg,Marion Schick,1958-09-05T00:00:00Z,DE,,,
http://www.wikidata.org/entity/Q100290,"German politician, representative of the Christian Social Union of Bavaria",http://commons.wikimedia.org/wiki/Special:FilePath/2012-07-17-Otmar-Bernhard-1.jpg,Otmar Bernhard,1946-10-06T00:00:00Z,DE,,,
http://www.wikidata.org/entity/Q100389,German politician,http://commons.wikimedia.org/wiki/Special:FilePath/2012-07-17%20-%20Paul%20Wengert%20MdL%20-%207055.jpg,Paul Wengert,1952-11-18T00:00:00Z,DE,,,
http://www.wikidata.org/entity/Q100521,German politician,http://commons.wikimedia.org/wiki/Special:FilePath/Wolfgang%20J%C3%B6rg.jpg,Wolfgang Jörg,1963-01-24T00:00:00Z,DE,,,
